puma22,Num Eligible,Num Ineligible
2500402,39954,17852
2500403,25582,38975
2500501,16364,27589
2500502,22375,27927
2500503,17434,40434
2500504,22761,16186
2500505,21751,15496
2500506,15360,28984
2500507,21749,39376
2500601,14954,33354
2500602,22563,20014
2500603,9003,30434
2500604,9277,34452
2500605,17146,26819
2500606,12347,27178
2500607,12655,40622
2500608,22469,43162
2500609,23568,28064
2500610,24357,28910
2500611,16042,35356
2500612,11592,33081
2500613,12845,45088
2500701,27008,15806
2500702,22519,22550
2500703,15135,31642
2500704,22780,42844
2500705,21767,18196
2500706,25248,43897
2500801,19532,21131
2500802,30085,45592
2500803,20609,29996
2500804,37779,13790
2500805,20738,32770
2500806,26612,16777
2500901,8677,32621
2500902,13944,30969
2500903,17135,22802
2500904,18962,37980
2500905,20563,25383
2500906,11906,35253
2501001,17311,29831
2501002,24704,36168
2501003,30920,24817
2501004,39024,30585
2501101,22700,15661
2501102,15154,33446
2501103,16832,39589
2501104,18840,40037
2501201,21695,40411
2501301,19254,37194
2600100,34465,38630
2600200,25696,26436
2600300,31147,32515
2600400,28983,38256
2600500,24630,42597
2600600,20594,25898
2600700,33870,33838
2600801,21663,39529
2600802,15529,33324
2600900,16751,27727
2601001,23559,33803
2601002,33495,47856
2601003,18183,47834
2601004,17162,31159
2601100,33762,39244
2601200,26964,25492
2601300,25199,26075
2601400,34112,46828
2601500,40597,39549
2601600,23172,29773
2601701,23462,32786
2601702,29291,25318
2601703,28897,13768
2601704,29221,47780
2601801,26234,38547
2601802,25696,25255
2601900,26661,49436
2602000,31873,45914
2602101,20697,33874
2602102,24900,26171
2602200,16822,23191
2602300,24948,25210
2602400,30118,35646
2602500,26913,29387
2602600,24206,37731
2602701,10854,32636
2602702,19471,32225
2602703,22194,31756
2602800,18701,56670
2602901,14822,40291
2602902,13937,40241
2602903,17349,50615
2602904,33197,33059
2602905,14677,42729
2602906,13658,48563
2602907,29126,48631
2602908,33637,55587
2603001,15918,30918
2603002,18923,46902
2603003,25194,26611
2603004,31549,36662
2603005,26517,36171
2603006,30245,32475
2603100,27458,38866
2603201,21378,59496
2603202,19574,39218
2603203,30563,26482
2603204,33211,30826
2603205,19201,22315
2603206,17788,39133
2603207,25610,24699
2603208,46775,13697
2603209,36441,13260
2603210,30355,9291
2603211,35849,21023
2603212,28722,8867
2603213,22684,18385
2603300,24470,37102
2700101,23188,36110
2700200,0,1
2700201,24024,35246
2700301,18809,27545
2700401,18251,24505
2700501,16870,26701
2700600,24283,32975
2700700,21791,33206
2700800,19955,28312
2700901,15186,25744
2701001,14700,25901
2701101,11686,26622
2701200,17520,31036
2701301,10472,32924
2701302,21144,33996
2701303,10634,26092
2701401,13988,38792
2701402,13486,36168
2701501,14695,38574
2701502,18026,25499
2701503,16526,25126
2701504,17465,23643
2701505,21091,18120
2701601,9077,34870
2701602,10467,38578
2701603,15472,28497
2701604,19677,26446
2701605,12234,36150
2701606,14857,40031
2701607,16252,38507
2701608,22799,20055
2701609,20966,27526
2701610,18404,32459
2701611,18671,29571
2701701,13877,26870
2701702,12132,29794
2701703,16501,31474
2701704,8944,30318
2701800,16346,39936
2701900,11942,28210
2702001,12027,34320
2702100,20269,34850
2702200,19013,29344
2702300,16517,25200
2702400,15328,25577
2702500,23061,35934
2702600,18473,29345
2702700,19057,46147
2702800,16428,24918
2800100,27132,41835
2800200,32254,25471
2800300,24601,16622
2800400,27927,27285
2800500,26696,28010
2800600,37217,33907
2800700,26186,16351
2800800,26609,14742
2800900,19853,30240
2801001,25181,22692
2801101,41180,30789
2801300,24718,44232
2801400,21992,18222
2801500,24971,17408
2801600,38448,27599
2801700,26221,19257
2801800,34529,35508
2801900,26343,29174
2802001,19261,21524
2802002,19082,21356
2802100,26306,30678
2900100,18311,24163
2900200,19940,24077
2900300,18266,24945
2900400,20806,35079
2900501,24005,38355
2900601,21471,36353
2900700,21373,27990
2900800,20412,34754
2900901,8979,34688
2900902,21430,34618
2901000,13223,30996
2901101,39538,45111
2901102,24445,32949
2901103,16046,38503
2901104,9437,33001
2901105,25682,38134
2901200,13351,34722
2901300,26116,24751
2901400,23397,21322
2901500,16997,19501
2901600,23997,26411
2901700,20806,29576
2901801,6590,39327
2901802,13307,44306
2901803,13342,40998
2901901,27115,22888
2901902,15773,33587
2901903,35609,33618
2901904,9422,35078
2901905,10331,32624
2901906,9904,37744
2901907,18110,48820
2901908,8361,32801
2902001,33735,23393
2902002,33259,50246
2902101,14011,30131
2902102,13921,30743
2902200,24055,24398
2902300,23895,23695
2902400,23812,19523
2902500,24606,20221
2902600,24876,18676
2902701,23319,41241
2902702,28863,26184
2902703,20849,37296
2902800,28426,27792
2902900,31959,37686
3000100,23264,32932
3000200,30303,40801
3000300,20108,29946
3000400,18046,32376
3000500,26530,36954
3000600,21611,31483
3000700,22466,35038
3000800,20389,26517
3100100,19429,23567
3100200,25658,45453
3100300,16537,27585
3100400,17019,25360
3100500,16570,30460
3100600,19970,36417
3100701,14367,27637
3100702,17689,54733
3100801,31284,40133
3100802,16183,43817
3100901,21760,59329
3100902,19778,44717
3100903,24013,20648
3100904,21129,24737
3200101,20429,41621
3200102,37329,44518
3200103,17402,36691
3200200,30115,39896
3200300,28565,40500
3200401,17990,33782
3200402,26619,22560
3200403,35832,32724
3200404,21640,38881
3200405,26612,40961
3200406,32182,21574
3200407,33705,13105
3200408,32362,23716
3200409,43256,23592
3200410,18692,25299
3200411,23620,32003
3200412,28311,37532
3200413,16344,29743
3200414,18001,32879
3200415,22235,48417
3300100,24265,41055
3300201,20701,35230
3300301,17768,42232
3300401,17005,28439
3300501,14446,26555
3300601,17450,30606
3300602,10759,31050
3300603,12092,32673
3300701,14755,47029
3300801,20305,63211
3400101,27270,33266
3400102,17803,28442
3400301,15775,26335
3400302,14546,33059
3400303,20388,34858
3400304,17692,28111
3400305,10202,34721
3400306,6595,31475
3400307,11744,28700
3400308,5572,31991
3400501,27933,18160
3400502,13231,26732
3400503,40289,11545
3400504,9941,30002
3400601,24944,46120
3400602,28514,19289
3400603,22810,37878
3400604,29921,30053
3400605,23284,29072
3400800,9968,41136
3400901,15441,38749
3400902,11318,32221
3400903,12837,27053
3400904,11563,29294
3400905,13672,26423
3400906,23513,27409
3400907,19738,19144
3401001,6557,34963
3401002,8596,35396
