puma22,Num Eligible,Num Ineligible,Percentage Eligible
1719705,13069,31857,29.09
1719900,39960,36005,52.6
1720101,39734,39396,50.21
1800101,26271,16928,60.81
1800102,26856,18421,59.31
1800103,19043,28820,39.79
1800104,16216,39703,29.0
1800200,23674,44581,34.68
1800300,18514,24931,42.61
1800401,20975,22457,48.29
1800402,21891,41752,34.4
1800501,15228,20426,42.71
1800502,14257,19106,42.73
1800600,26214,35759,42.3
1800700,17254,23515,42.32
1800800,19031,29108,39.53
1800900,20643,32798,38.63
1801001,30352,26370,53.51
1801002,22726,30266,42.89
1801003,12704,32417,28.16
1801100,19068,29990,38.87
1801200,33359,40165,45.37
1801300,25785,32613,44.15
1801400,23481,28742,44.96
1801500,20452,22194,47.96
1801600,17901,23218,43.53
1801700,22127,20012,52.51
1801801,14210,44558,24.18
1801901,8438,46144,15.46
1801902,9381,37570,19.98
1802000,27368,26541,50.77
1802100,24344,21633,52.95
1802200,18738,28389,39.76
1802300,15837,49914,24.09
1802401,17875,28065,38.91
1802402,14566,33751,30.15
1802403,22187,28252,43.99
1802404,30827,26881,53.42
1802405,35125,33506,51.18
1802406,27575,33855,44.89
1802407,29164,32969,46.94
1802500,17143,44973,27.6
1802600,18995,31689,37.48
1802700,23130,22448,50.75
1802800,31644,32787,49.11
1802900,27026,29688,47.65
1803000,20624,30046,40.7
1803100,16812,26182,39.1
1803200,17263,30419,36.2
1803300,15767,33181,32.21
1803400,34226,45089,43.15
1803500,23500,35043,40.14
1803600,21798,35551,38.01
1803700,21507,28088,43.37
1900100,16354,31242,34.36
1900200,20805,27474,43.09
1900301,14442,30732,31.97
1900302,15885,33793,31.98
1900400,18028,30667,37.02
1900500,23939,30012,44.37
1900600,21336,32671,39.51
1900700,24360,39429,38.19
1900800,22164,30550,42.05
1900900,28589,43535,39.64
1901100,20118,41183,32.82
1901200,19130,27976,40.61
1901300,19091,30601,38.42
1901400,14769,32680,31.13
1901501,19556,50928,27.75
1901502,13826,38434,26.46
1901503,36286,44717,44.8
1901600,13600,34711,28.15
1901800,19817,25528,43.7
1901900,21972,27814,44.13
1902000,21747,29690,42.28
1902100,29813,40273,42.54
1902200,21455,25765,45.44
1902300,20372,22507,47.51
2000100,19370,26355,42.36
2000200,24970,35037,41.61
2000300,23333,27685,45.73
2000400,35892,26647,57.39
2000501,27900,29083,48.96
2000601,15784,35634,30.7
2000700,20742,29017,41.68
2000801,12441,39759,23.83
2000802,16445,51796,24.1
2000803,11158,50351,18.14
2000804,19965,43728,31.35
2000900,15872,31083,33.8
2001000,28669,32744,46.68
2001101,27009,27876,49.21
2001201,20443,43878,31.78
2001301,20415,41691,32.87
2001401,30281,19434,60.91
2001501,25792,39289,39.63
2001600,16350,25215,39.34
2001701,18011,24889,41.98
2001800,18661,28283,39.75
2100100,37170,40251,48.01
2100200,24945,18328,57.65
2100300,22217,18243,54.91
2100400,38207,30616,55.51
2100500,25029,28064,47.14
2100600,24069,16790,58.91
2100700,24691,13750,64.23
2100800,28043,15446,64.48
2100900,30725,13624,69.28
2101000,29671,8250,78.24
2101100,37881,17124,68.87
2101200,28268,36798,43.45
2101300,18700,23019,44.82
2101400,19036,25226,43.01
2101500,16901,24673,40.65
2101600,15682,23305,40.22
2101701,41095,17486,70.15
2101702,16519,33533,33.0
2101703,14624,38153,27.71
2101704,17381,37492,31.67
2101705,27940,28349,49.64
2101706,31732,26774,54.24
2101800,15750,33916,31.71
2101901,26362,25446,50.88
2101902,16572,28408,36.84
2101903,15678,26835,36.88
2102000,23364,29514,44.18
2102100,24707,23011,51.78
2102200,28971,17757,62.0
2102300,24752,30567,44.74
2102400,25579,42170,37.76
2102500,15325,35697,30.04
2102600,27708,37084,42.76
2102700,29552,22664,56.6
2102800,28879,23533,55.1
2200101,31741,16889,65.27
2200102,25228,22639,52.7
2200200,31016,32287,49.0
2200300,39834,23823,62.58
2200400,35756,25848,58.04
2200500,32986,18366,64.24
2200600,23045,17582,56.72
2200700,38019,28060,57.54
2200801,24202,25466,48.73
2200901,30907,24051,56.24
2201000,30853,13791,69.11
2201100,23758,20475,53.71
2201201,24058,23550,50.53
