sduni20,Num Eligible,Num Ineligible,Percentage Eligible
0803510,181,262,40.86
0803540,5005,12301,28.92
0803600,1887,2367,44.36
0803630,60,89,40.27
0803690,251,364,40.81
0803720,2524,3654,40.85
0803750,775,1203,39.18
0803780,3606,8144,30.69
0803810,1632,3308,33.04
0803840,1309,1706,43.42
0803870,12527,27366,31.4
0803930,149,216,40.82
0803960,2809,3665,43.39
0803990,31795,59616,34.78
0804020,1720,3796,31.18
0804050,2658,3848,40.85
0804080,5533,7697,41.82
0804110,475,455,51.08
0804140,399,359,52.64
0804200,1434,2358,37.82
0804230,298,986,23.21
0804260,5546,9952,35.79
0804290,180,162,52.63
0804320,1326,3265,28.88
0804350,27115,35790,43.1
0804380,1124,1777,38.75
0804410,20996,26194,44.49
0804440,92,115,44.44
0804470,3168,4200,43.0
0804500,270,419,39.19
0804530,12380,17373,41.61
0804560,235,340,40.87
0804590,459,725,38.77
0804620,141,187,42.99
0804650,365,328,52.67
0804680,316,285,52.58
0804710,499,723,40.83
0804740,212,307,40.85
0804770,1002,1333,42.91
0804800,73966,170876,30.21
0804830,3695,4651,44.27
0804860,248,359,40.86
0804890,54,78,40.91
0804920,1899,4185,31.21
0804950,746,972,43.42
0804980,60,54,52.63
0805010,447,647,40.86
0805040,76,111,40.64
0805070,349,860,28.87
0805100,944,849,52.65
0805130,2033,1830,52.63
0805160,249,324,43.46
0805190,1279,1667,43.41
0805220,2065,1859,52.62
0805250,1112,1001,52.63
0805280,535,774,40.87
0805310,9920,30397,24.61
0805340,37,54,40.66
0805370,23654,52401,31.1
0805400,16712,39399,29.78
0805460,628,835,42.93
0805490,1129,2194,33.98
0805520,173,160,51.95
0805550,5018,7090,41.44
0805580,162,145,52.77
0805610,602,952,38.74
0805640,149,216,40.82
0805670,335,517,39.32
0805700,429,386,52.64
0805730,2085,3296,38.75
0805760,1470,1323,52.63
0805790,8760,8010,52.24
0805820,3530,10028,26.04
0805850,367,335,52.28
0805880,393,359,52.26
0805910,509,804,38.77
0805940,149,216,40.82
0805970,344,315,52.2
0806000,121,175,40.88
0806030,82,119,40.8
0806060,568,938,37.72
0806090,62,56,52.54
0806120,25527,20946,54.93
0806150,11715,10383,53.01
0806180,422,667,38.75
0806210,627,573,52.25
0806240,4318,6828,38.74
0806270,1223,1101,52.62
0806300,348,314,52.57
0806330,1751,2282,43.42
0806360,404,363,52.67
0806390,323,291,52.61
0806420,256,231,52.57
0806450,240,216,52.63
0806480,9810,11977,45.03
0806510,88,127,40.93
0806540,1105,2493,30.71
0806570,132,176,42.86
0806600,282,418,40.29
0806630,434,390,52.67
0806660,2917,4612,38.74
0806690,2956,4279,40.86
0806720,74,93,44.31
0806750,613,1380,30.76
0806780,164,237,40.9
